=== RUN   TestMakeLargeSlice
gc 1 @0.005s 1%: 0+0.51+0 ms clock, 0+0/1.0/0+0 ms cpu, 128->128->128 MB, 128 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 24 @0.645s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 25 @0.670s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 26 @0.696s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 27 @0.720s 0%: 0.97+0+0 ms clock, 15+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 28 @0.745s 0%: 0.97+0+0 ms clock, 15+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 29 @0.775s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 30 @0.798s 0%: 0+0.97+0 ms clock, 0+0/0.97/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 31 @0.823s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 32 @0.848s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 33 @0.873s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 34 @0.899s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 35 @0.924s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 36 @0.950s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 37 @0.973s 0%: 0.97+0+0 ms clock, 15+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 38 @0.995s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 39 @1.020s 0%: 0+0.97+0 ms clock, 0+0/3.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 40 @1.045s 0%: 0+0.97+0 ms clock, 0+0/0.97/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 41 @1.070s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 42 @1.093s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 43 @1.117s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 44 @1.140s 0%: 0+1.9+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 45 @1.164s 0%: 0+0+0.97 ms clock, 0+0/0/0+15 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 46 @1.187s 0%: 0+0+1.9 ms clock, 0+0/0/0+31 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 47 @1.210s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 48 @1.234s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 49 @1.257s 0%: 0+0.97+0 ms clock, 0+0/0.97/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 50 @1.283s 0%: 0+0.97+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 51 @1.307s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 52 @1.332s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 53 @1.356s 0%: 0+0.97+0 ms clock, 0+0/1.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 54 @1.380s 0%: 0+0.97+0 ms clock, 0+0/0.97/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 55 @1.406s 0%: 0+0.97+0 ms clock, 0+0/0/0.97+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 56 @1.432s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 57 @1.457s 0%: 0+0.97+0 ms clock, 0+0/1.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 58 @1.483s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 59 @1.508s 0%: 0+0.97+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 60 @1.534s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 61 @1.560s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 62 @1.585s 0%: 0+0+0.97 ms clock, 0+0/0/0+15 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 63 @1.610s 0%: 0+0.97+0 ms clock, 0+0/2.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
--- PASS: TestMakeLargeSlice (1.62s)
PASS
ok  	gomodel	1.813s
